Corruption Type,Macro-F1,F1 Drop,Drop %
Clean,0.8578190072126141,0.0,0.0
Blur,0.8532577169942431,0.004561290218370928,0.5317310738068541
Noise,0.8357293094952422,0.022089697717371903,2.5751000539321085
JPEG,0.8366073281183553,0.021211679094258806,2.472745289613454
